mint,token_class,trade_events_5m,priceable_events_5m,sol_priceable_events_5m,quote_priceable_events_5m,unavailable_events_5m,quote_mints,old_sol_unpriceable,quote_rescued,path_conflict_seen,quote_flow_mint_conflict,price_identity,first_price_proxy,current_price_proxy,return_from_t0_bps,drawdown_from_high_bps,strategy_v01_flow_compatible,sol_buy_volume_lamports,sol_sell_volume_lamports,quote_buy_volume_raw,quote_sell_volume_raw,quote_flow_mint
24qRCC1X9TZ3K9gTXVnQjFjh4gtSy7xiRpaaXdFepump,SOL_ONLY,40,40,40,0,0,,False,False,False,False,SOL_NATIVE,0.0000285139100361136920475406400926147035786166753114645075714057,0.00000503908710787098153729286450704540340740655316055688928955147,-8233,-9275,True,2079748699,2038077734,2079748699,2038077734,11111111111111111111111111111111
24qSzoohRodnTfjYgCWNeE1TSDvXcPeKZd48FGrLpump,SOL_ONLY,3,3,3,0,0,,False,False,False,False,SOL_NATIVE,4.54585766591447173378943441327479773113519789759289285165643E-7,4.20690814811903566710147943575928312961987777905417497114004E-7,-746,-746,True,0,21018063,0,21018063,11111111111111111111111111111111
24qTV2t2o6PAPRdf5Pys354wJNYfTsW4XYdkPT21pump,SOL_ONLY,72,72,72,0,0,,False,False,False,False,SOL_NATIVE,0.0000658621137811815809578709191816618815869093886689648911583058,0.00000752759637731889007266675359196611101222345985933673254479114,-8857,-9144,True,4025486399,5014951322,4025486399,5014951322,11111111111111111111111111111111
24qTdqh1XJkaQCYCpEGrBfvLE47jJZ8hQrgRK4g5pump,SOL_ONLY,64,64,64,0,0,,False,False,False,False,SOL_NATIVE,0.0000285139100361136920475406400926147035786166753114645075714057,0.00000517679311261755252089714025055388610481832292680807421102200,-8184,-8727,True,3275902933,3050613232,3275902933,3050613232,11111111111111111111111111111111
24qTzcFU4LHbnCD9jif6nrpn17M6XayF7C5CPVzZpump,SOL_ONLY,7,7,7,0,0,,False,False,False,False,SOL_NATIVE,0.0000285139100361136920475406400926147035786166753114645075714057,0.0000229672658150458886013699355017665377509640798702404923017185,-1945,-3906,True,432268238,193043572,432268238,193043572,11111111111111111111111111111111
24qYL6eQCpyN8WvBcVM6wUco7w14cvcYxw1koMtmpump,SOL_ONLY,77,77,77,0,0,,False,False,False,False,SOL_NATIVE,5.96914186193909961945445540503275622794128216773775842876992E-7,1.69857511857657334288728277350682978235822363257253196886374E-7,-7154,-8081,True,555188467,597941865,555188467,597941865,11111111111111111111111111111111
24qYt9vrVyp6T2EueAURGymF9MrpnDH6ceedMi9dpump,SOL_ONLY,37,37,37,0,0,,False,False,False,False,SOL_NATIVE,0.00000866799395872759867092014938264713042078932859114084744078442,0.0000183905076509633188521082604100989666384167307914654718722981,11217,-3157,True,1369010490,792545269,1369010490,792545269,11111111111111111111111111111111
24qjbbQ6Z28bVVFChRt8PfRQi36Q5w8kpRAhzDT2pump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000179103643552537676226241330853061966266487512105877184231303,0.0000179103643552537676226241330853061966266487512105877184231303,0,0,True,0,35905499,0,35905499,11111111111111111111111111111111
24rW98Uz2Zr2hZmZp7GtTf3GtP7dffdp3uHUB64ipump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000365133490976353531766420572169944490980375716602347583911414,0.0000365133490976353531766420572169944490980375716602347583911414,0,0,True,29372838,0,29372838,0,11111111111111111111111111111111
25VBxxYhYrjZy86nAU3HRTWxWgwmSEpRfvEAaKE2pump,SOL_ONLY,24,24,24,0,0,,False,False,False,False,SOL_NATIVE,0.0000765824268610200625632298872060802856287913472539203276840780,0.00000210933482619360611341885593480887086613817148487392591636382,-9725,-9803,True,3366723734,6272643549,3366723734,6272643549,11111111111111111111111111111111
