mint,first_tradable_observed_at_us,first_tradable_observed_at_utc
2m65x9kayW8sP4kJGPeaBqrARab7xXwTCGy9Fvjypump,1787074430315496,2026-08-18T17:33:50.315496+00:00
2mZa38Ad4EiCcpAPTdjWhndgf6qUA3AXA1ejUQLKpump,1787064802767339,2026-08-18T14:53:22.767339+00:00
2mgkxvysYgEy1T85ucigrTeHjqiCARNkQ8LHBs4ipump,1787071467094500,2026-08-18T16:44:27.094500+00:00
2mxybSMqo8yYMrBiLbLHp1NH8VopGtfmU9LrMt2ypump,1787066675246499,2026-08-18T15:24:35.246499+00:00
2nQjwJJXJ7JoX6dXwTx87ZkvmWWqFfwneqNb3SGbpump,1787075364748788,2026-08-18T17:49:24.748788+00:00
2neu677KoQDWtR2sdQHZ7VZ3HsDvFaxf5Egh7233pump,1787075181714873,2026-08-18T17:46:21.714873+00:00
2o2XZbBUsvmviYBpTcsCqQQ3mxcaQf9eV1GTQnwHpump,1787069331056441,2026-08-18T16:08:51.056441+00:00
2o4ouj4wNVAkmLwCjjkGd5Xxt7yKeWq1XZLxbKmpdysC,1787070830647008,2026-08-18T16:33:50.647008+00:00
2oE99Rw2D2uhJJCyqu9EZ3qrM4V4mjyoSHx4b28hpump,1787064052899275,2026-08-18T14:40:52.899275+00:00
2oJbKdVadiBm3H4CqDcyqaEsCMqa3s6M7siEtjuKpump,1787068402759329,2026-08-18T15:53:22.759329+00:00
